fitness,lr0,weight_decay,degrees,scale,shear,flipud,fliplr
0.72873,0.01,0.0005,0.0,0.5,0.0,0.0,0.5
0.7474,0.01,0.00053,0.0,0.5,0.0,0.0,0.5
0.74054,0.01,0.00041,0.0,0.5,0.0,0.0,0.5
0.74411,0.01,0.00052,0.0,0.5,0.0,0.0,0.5
0.74638,0.00964,0.00041,0.0,0.5,0.0,0.0,0.5
0.7392,0.01,0.00053,0.0,0.5,0.0,0.0,0.49716
0.7449,0.00988,0.0005,0.0,0.50895,0.0,0.0,0.5
0.74299,0.0073,0.00049,0.0,0.58847,0.0,0.0,0.46944
0.74476,0.01,0.00036,0.0,0.5,0.0,0.0,0.42282
0.73983,0.01,0.00041,0.0,0.60804,0.0,0.0,0.38075
